breed
Abisinio
American Curl
Angora Turco
Ashera
Azul Cubano
Azul Ruso
Balinés
Bengalí
Birmano
Bobtail Japonés
Bombay
Bosque de Noruega
British Shorthair
Burmés
Burmilla
Cartujo o Chartreaux
Común Europeo
Cornish Rex
Devon Rex
Exótico
Himalayo
Korat
Maine Coon
Manx
Mau Egipcio
Munchkin
Nebelung
Oriental
Persa
Persa Chinchilla
Persa Tabby
Peterbald
Ragamuffin
Ragdoll
Raza única (Mestizo)
Rex
Scottish Fold
Selkirk Rex
Siamés
Siberiano
Snowshoe
Somalí
Sphynx
Van Turco
